Column1,original,                              correct
,Şakira 18+ klip çəkdiridi (VİDEO) ,Şakira 18+ klip çəkdiridi (VİDEO) 
,"Tekila içirik biz, bu da yata yata tvit atır. ","Tekilla içirik biz, bu da yata yata tvit atır. "
,Bir də ölsəm də həkimə getmərəm pul qabımdakı son qəpiyə qədər xərclədim,Bir də ölsəm də həkimə getmərəm pul qabımdakı son qəpiyə qədər xərclədim
,"He, nenesi ölende babasına ürek direk vermeye geden rozoviy saç qaqaş aww &lt;3","He, nənəsi öləndə babasına ürək dirək verməyə gedən rozovıy saç qaqaş "
,"Bu il yazda, ya da payızda həbsxana ilə bağlı 7 hekayə və 2 pyesin “Türməli günlər” adlı (ad şərtidir) bir... ","Bu il yazda, ya da payızda həbsxana ilə bağlı 7 hekayə və 2 pyesin “Türməli günlər” adlı (ad şərtidir) bir. "
,"10gündü görmürəm, yenə itə dönmüşəm😏","10 gündür görmürəm, yenə itə dönmüşəm😏"
,"+Allah Quranda dinsiz, imansız, zalım yəhudiləri, zalım müşrikləri, zalım münafiqləri lənətləyir. Həqiqi müsəlman z… ","Allah Quranda dinsiz, imansız, zalım yəhudiləri, zalım müşrikləri, zalım münafiqləri lənətləyir. Həqiqi müsəlman"
,      Elelktron fidaşka,      Elelektron fidaşka
,Bir çox mövzuları yanlış bilirlər. Allah bütöv bir qövmü lənətləməz. Yeni doğulan bir körpənin yəhudi olduğu üçün l… ,Bir çox mövzuları yanlış bilirlər. Allah bütöv bir qövmü lənətləməz. Yeni doğulan bir körpənin yəhudi olduğu üçün 
,"Dostlar, 1918-ci ildə ADR-in elan olunduğu zalın daxili görüntülərinin fotoları kimdə var? Kim bu zalın içində... ","Dostlar, 1918-ci ildə ADR-in elan olunduğu zalın daxili görüntülərinin fotoları kimdə var? Kim bu zalın içində."
,"Bir sol xurafatçılıq var, 150 il əvvəlki dövrün düşüncəsini müdafiə edir, bir də klassik ortodoks sistem var. Biz h… ","Bir sol xurafatçılıq var, 150 il əvvəlki dövrün düşüncəsini müdafiə edir, bir də klassik ortodoks sistem var. Biz"
,Quranda ittifaq edilmədikcə dostlar arasındakı problemlərin həll olunması mümkün deyil. Hər insanın özünə görə fərq… ,Quranda ittifaq edilmədikcə dostlar arasındakı problemlərin həll olunması mümkün deyil. Hər insanın özünə görə fərq
,Münafiq olmadan imtahan olmaz. Peyğəmbərimizin (səv) dövründə müşrikləri müsəlmanların əleyhinə təhrik edən onlar i… ,Münafiq olmadan imtahan olmaz. Peyğəmbərimizin (səv) dövründə müşrikləri müsəlmanların əleyhinə təhrik edən onlar 
,"Ağlı donmuş insanın üzündə sevgi ifadəsi olmaz. O insan sevgini axmaqlıq kimi görür. Kini, nifrəti, səmimiyyətsizli… ","Ağlı donmuş insanın üzündə sevgi ifadəsi olmaz. O insan sevgini axmaqlıq kimi görür. Kini, nifrəti, səmimiyyətsizliyi "
,"Magistri xaricde oxumaqcun hazirlashmaq qerarina gelmishdimki... anam: ""dur, dar vaxti yatmaq olmaz"" dedi😔","Magistrı xaricdə oxumaq üçün hazırlaşmaq qərarına gəlmişdim ki... anam: ""dur, dar vaxtı yatmaq olmaz"" dedi😔"
,"Din tamamilə Allaha həsr olunana, fitnə yer üzündən yox edilənə qədər aparılan elmi mübarizənin sona çatmasına, yən… ","Din tamamilə Allaha həsr olunana, fitnə yer üzündən yox edilənə qədər aparılan elmi mübarizənin sona çatmasına, "
,"İnsanların böyük əksəriyyəti sevgidən xəbərsizdir. Sevginin təqlidini edirlər. Filmlərdə, şeirlərdə, kitablarda sev… ","İnsanların böyük əksəriyyəti sevgidən xəbərsizdir. Sevginin təqlidini edirlər. Filmlərdə, şeirlərdə, kitablarda sev"
,"Marksist, leninist, kommunist ideologiyanın əsasında darvinizm dayanır. Darvinizmin əsassızlığını anlatmadan kommun… ","Marksist, leninist, kommunist ideologiyanın əsasında darvinizm dayanır. Darvinizmin əsassızlığını anlatmadan  "
,"İran xalqı tərtəmizdir, mərddir, dürüstdür. İran bizim can dostumuzdur, hər zaman sevib, dəstəkləyəcəyik.","İran xalqı tərtəmizdir, mərddir, dürüstdür. İran bizim can dostumuzdur, hər zaman sevib, dəstəkləyəcəyik."
,"Gənclər azad olmaq istəyirlər. Mühafizəkar bilinən ailələrin övladları da şən, azad, rahat yaşamaq istəyirlər. Bu a… ","Gənclər azad olmaq istəyirlər. Mühafizəkar bilinən ailələrin övladları da şən, azad, rahat yaşamaq istəyirlər. Bu  "
, Özü də qırmızı,Özü də qırmızı
,"Ermənistan qaçqınları gələndə bakılılar ayrıseçkilik edirdilər, Qarabağ qaçqınları gələndə eyni münasibəti bu dəfə… ","Ermənistan qaçqınları gələndə bakılılar ayrıseçkilik edirdilər, Qarabağ qaçqınları gələndə eyni münasibəti bu dəfə "
,"-ətrafındaki vicdansız, şərəfsiz, hörmətsiz, yaltaq, yalançı insanları görüb, onlarla eyni, ""insan"" adlı qəlibə qoy… ","ətrafındaki vicdansız, şərəfsiz, hörmətsiz, yaltaq, yalançı insanları görüb, onlarla eyni, ""insan"" adlı qəlibə qoy"
,Laportun transferi MS-nin tarixində rekord olacaq ,Laportun transferi MS-nin tarixində rekord olacaq 
, Ayıbdı,Ayıbdır
,Lenta yenə sevgi dərdi çəkir,Lenta yenə sevgi dərdi çəkir
,Azərbaycanlı cərrah-transplantoloq barəsində cinayət təqibinə başlanması xəbərinə münasibət bildirib… ,Azərbaycanlı cərrah-transplantoloq barəsində cinayət təqibinə başlanması xəbərinə münasibət bildirib… 
," Sən də sevirdin, hə? :D","Sən də sevirdin, hə? :D"
,Gürcüstanda İran vətəndaşları külli miqdarda heroinlə tutulub ,Gürcüstanda İran vətəndaşları külli miqdarda heroinlə tutulub 
,Ermənistanda Türkiyə qorxusu: ruslar sərhəddən çəkiləcək ,Ermənistanda Türkiyə qorxusu: ruslar sərhəddən çəkiləcək 
,"Qeyd: Bu alıntı dünya şöhrətli yazar Dan Brown'ın ""Başlanğıc"" kitabındandır.","Qeyd: Bu alıntı dünya şöhrətli yazar Dan Brovn'ın ""Başlanğıc"" kitabındandır."
,  Guc ve etibari hemishe xaricde axtaririq amma bu insanin daxilinden geler ve her zaman da ordadirlar.,  Güc və etibarı həmişə xaricdə axtarırıq amma bu insanın daxilindən gələr və hər zaman da oradadırlar.
,- Azərbaycanda nə etmək daha asandır?,Azərbaycanda nə etmək daha asandır?
,Poeziya dəqiqələrimiz bitdi. gedək günaha bataq biraz da.,Poeziya dəqiqələrimiz bitdi gedək günaha bataq biraz da.
,"Kimisə gözləməkdən də, gözlətməkdən də zəhləm gedir. ","Kimisə gözləməkdən də, gözlətməkdən də zəhləm gedir. "
,Neçəyə çıxır?,Neçəyə çıxır?
,Hə də dərd orasıdı gəl gör ki elə şişə danışır ki sənətkəram mən,Hə də dərd orasıdır gəl gör ki elə şişə danışır ki sənətkəram mən
,Məndən qurtuluş yoxdu da bilirsən? :d,Məndən qurtuluş yoxdur da bilirsən? :d
,"  Elə soyuq var ki, polisi cərimə yazmağa saxlasan durmaz bayırda","  Elə soyuq var ki, polisi cərimə yazmağa saxlasan durmaz bayırda"
,Nə qəşəng şeylər alırsan,Nə qəşəng şeylər alırsan
,"Men de deli olmushdum, bizde proses biraz chox qeliz idi. Her shey birden oldu deye daha chox qiciqlanm… ","Mən də dəli olmuşdum, bizdə proses biraz çox qəliz idi. Hər şey birdən oldu deyə daha çox qıcıqlanıram."
,Qetiyyen),Qətiyyən)
,Dünən oyanıb musiqili meyxana oxumağa başlıyıb uje sənətkardı yuxusunda olar elə ancaq,Dünən oyanıb musiqili meyxana oxumağa başlıyıb uje sənətkardır yuxusunda olar elə ancaq
,"Nə qəribə sualdır bu?Axtardığım cavab budur...O cihazdır,o qurğudur...Saat insan deyil axı...O unutqan deyil ax… ","Nə qəribə sualdır bu?Axtardığım cavab budur. O cihazdır,o qurğudur. Saat insan deyil axı. O unutqan deyil axı "
, Bizdə Gate 25 var. Mənzərəsi fəhlə şəhərciyinə açılır. Qiymətlər aşağı-yuxarı bununla eynidir :)) deyəsən… , Bizdə Qeyt 25 var. Mənzərəsi fəhlə şəhərciyinə açılır. Qiymətlər aşağı-yuxarı bununla eynidir :)) deyəsən. 
,"  Reh, başa sal😂","  Reh, başa sal😂"
,"Yadındadır?Yaman tənbəl idim, yaman...Səhər tez oyanmağı da,Bacarmırdım heç o zaman...İndi saatı qururam,Bir k… ","Yadındadır? Yaman tənbəl idim, yaman. Səhər tez oyanmağı da,Bacarmırdım heç o zaman. İndi saatı qururam,Bir "
, Allah atana shefa versin!! Tezlikle ayaga qalxsin. Eyni yazdiqlarini men de il yarim once yashamisham.… , Allah atana şəfa versin!! Tezliklə ayağa qalxsın. Eyni yazdıqlarını mən də il yarım öncə yaşamışam.
,   gor kiwi qehbesi kimi oynatmirda,   gor kişi qəhbəsi kimi oynatmırda
,başqa saytdan aşağı keyfiyyətlə bax.,başqa saytdan aşağı keyfiyyətlə bax.
,Baş prokuror 7 prokuroru işdən çıxarıb ,Baş prokuror 7 prokuroru işdən çıxarıb 
,gedib qayıtmışam. ,gedib qayıtmışam. 
,Anar Ahmedov dayı deyir çörək olacaq?)),Anar Əhmədov dayı deyir çörək olacaq?))
,Kakraz Toyota da kapota emblem qoymur mən də belə edim bəlkə? ,Kakraz Toyota da kapota emblem qoymur mən də belə edim bəlkə? 
,"Heç bir zaman      ""Mən onu çox yaxşı tanıyıram"" deməmək lazımdır. Hər insan yanıldar. ","Heç bir zaman      ""Mən onu çox yaxşı tanıyıram"" deməmək lazımdır. Hər insan yanıldar. "
,Güzgünü sındırmışam gözdüyürəm ki mama gəlsin məni cırsın,Güzgünü sındırmışam gözdüyürəm ki mama gəlsin məni cırsın
,işarət ver görə bilmirəm :d,işarət ver görə bilmirəm :d
,O vaxt rehmetlik mamama 3 trombosit kutlesi vurduq Neftchiler xestexanasinda. O kutleden 2-sini dayimdan almishdiq.… ,O vaxt rəhmətlik mamama 3 trombosit kütləsi vurduq Neftçilər xəstəxanasında. O kütlədən 2-sini dayımdan almışdıq. 
," Yaxshi , chalisharam bir de bele sehv elemeyim","Yaxşı , çalışaram bir də belə səhv eləməyim"
,Ordu komandirləri Qarabağa toplaşdı - Ermənistan təxribata hazırlaşır ,Ordu komandirləri Qarabağa toplaşdı - Ermənistan təxribata hazırlaşır 
, Bir neçə il əvvəl ssenarisini oxumuşdum. Film çox da uğurlu alınmayıb. Ssenari daha güclü idi. Heyf mövzudan...,Bir neçə il əvvəl ssenarisini oxumuşdum. Film çox da uğurlu alınmayıb. Ssenari daha güclü idi. Heyif mövzudan...
,indi gördüm. müvəqqəti olaraq telefondan imtina etmişəm,indi gördüm. müvəqqəti olaraq telefondan imtina etmişəm
,hansı haqlıdır? ,hansı haqlıdır? 
,"Daha yaxshi olani deyil, sizi size daha yaxshi hiss etdirecek sheyleri sechmelisiz","Daha yaxşı olanı deyil, sizi sizə daha yaxşı hiss etdirəcək şeyləri seçməlisiniz"
,"Yenə də yaxşı hal deyil :( Bu arada məndəki şəkildə saqqızdı, yanlış anlaşılmasın","Yenə də yaxşı hal deyil :( Bu arada məndəki şəkildə saqqızdır, yanlış anlaşılmasın"
,kazarma torpağın üstündə idi :D,kazarma torpağın üstündə idi :D
,İŞİD İrana girdi - Şiddətli ATIŞMA ,İŞİD İrana girdi - Şiddətli ATIŞMA 
,1ci şəkildəki utancverici mənzərədə hamımızın payı vardır. Bu qədər… ,1-ci şəkildəki utancverici mənzərədə hamımızın payı vardır. Bu qədər 
," mənim ən çox döyüldüyüm, bir də telefonla danışdığım yer idi. yadımda belə qalıb kaptyorka))","mənim ən çox döyüldüyüm, bir də telefonla danışdığım yer idi. yadımda belə qalıb kaptyorka))"
,Azərbaycan diaspor təşkilatına basqın etdilər - FOTO ,Azərbaycan diaspor təşkilatına basqın etdilər - FOTO 
,Manqo qurusu sevmək qlamurluğun neçənci dərəcəsi sayılır?,Manqo qurusu sevmək qlamurluğun neçənci dərəcəsi sayılır?
,Rusiyada polis serjantı Azərbaycan vətəndaşını ölümdən xilas edib ,Rusiyada polis serjantı Azərbaycan vətəndaşını ölümdən xilas edib 
,"Chox mu caniniz yanir, beter olsun:d","Çox mu canınız yanır, betər olsun:d"
,"Kabildə partlayışda ölənlərin sayı 95-ə çatıb, daha 158 nəfər yaralanıb - YENİLƏNİB 3 ","Kabildə partlayışda ölənlərin sayı 95-ə çatıb, daha 158 nəfər yaralanıb - YENİLƏNİB "
,"Real növbəti məğlubiyyətinə çıxır. Pəh, Arsenal kimi klub olub Maşallah","Real növbəti məğlubiyyətinə çıxır. Pəh, Arsenal kimi klub olub Maşallah"
,İranda stadiona getmək istəyən qadınlar maraqlı üsula əl atdılar - FOTO ,İranda stadiona getmək istəyən qadınlar maraqlı üsula əl atdılar - FOTO 
,"Ər-arvad birləşərək azyaşlı qızı qaçırdılar - 1 il cinsi münasibətlərində ""kölə"" etdilər ","Ər-arvad birləşərək azyaşlı qızı qaçırdılar - 1 il cinsi münasibətlərində ""kölə"" etdilər "
," Hemin insalar, 2010ların evvelinde facebookda like et like gör deyenlerde ola biler)","Həmin insanlar, 2010-ların əvvəlində feysbukda layk et layk gör deyənlərdə ola bilər)"
,"Nazir: ""Türkiyə Azərbaycan Xalq Cümhuriyyətinin 100 illiyi münasibətilə keçirilən tədbirlərə dəstək verəcək""… ","Nazir: ""Türkiyə Azərbaycan Xalq Cümhuriyyətinin 100 illiyi münasibətilə keçirilən tədbirlərə dəstək verəcək""… "
,hə bir də qazan yeməkləri bişirirəm.,hə bir də qazan yeməkləri bişirirəm.
,Braziliyada klubda atışma zamanı azı 10 nəfər ölüb ,Braziliyada klubda atışma zamanı azı 10 nəfər ölüb 
,Dövlət xidmətçisi,Dövlət xidmətçisi
,Metroda bunu etmək QADAĞANDIR! ,Metroda bunu etmək QADAĞANDIR! 
,Uşaq tək böyrəkli doğuldu - Bakıda - VİDEO ,Uşaq tək böyrəkli doğuldu - Bakıda - VİDEO 
,   ehtiyatda 4 merkez zawita vare,   ehtiyatda 4 mərkəz zaşita var
,tvitterə girəndə mən: ,tvitterə girəndə mən: 
,  Belə bir şeylər ,  Belə bir şeylər 
,Xamralı' nədir?,Xamralı' nədir?
,"  belə bomba kabab çəkirəm, pes oynayıram, məntiq işləyirəm, şəkil çəkirəm. ","  belə bomba kabab çəkirəm, pes oynayıram, məntiq işləyirəm, şəkil çəkirəm. "
,Avtobusdakı basabas üçün darıxmışdım) Bunun da kayfı başqa olurmuş))),Avtobusdakı basabas üçün darıxmışdım) Bunun da kefi başqa olurmuş)))
,fikir adamı yaxşı şeylərə sövq eləmir. ,fikir adamı yaxşı şeylərə sövq eləmir. 
,"belə bomba kabab çəkirəm, pes oynayıram, məntiq işləyirəm, şəkil çəkirəm. ","belə bomba kabab çəkirəm, pes oynayıram, məntiq işləyirəm, şəkil çəkirəm. "
,Kütləyə söz azadlığı ancaq kimisə söymək üçün lazımdır.,Kütləyə söz azadlığı ancaq kimisə söymək üçün lazımdır.
,"Barça B - Granada oyunu başladı, uğurlar Barça B! #fcbbazelive","Barsa B - Qranada oyunu başladı, uğurlar Barsa B! "
,Deyirlər bu saytda işsizlərlə yaxşı davranırlar. Düzdür? Əgər elədirsə sevginizdən ötürün gəlsin.,Deyirlər bu saytda işsizlərlə yaxşı davranırlar. Düzdür? Əgər elədirsə sevginizdən ötürün gəlsin.
,"neynirdin ki, kaptyorkada? :D","neynəyirdin ki, kaptyorkada? :D"
,Neynəmişəm mən sənə?Öz yolunu getsənə,Neynəmişəm mən sənə?Öz yolunu getsənə
,"Men bele şekiller görende ""woow nece de arıqlıyıb ehsen!""demirem.O bedeni niye axı o qeder geneldirsen ki,sonra da… ","Mən belə şəkillər görəndə ""vov necə də arıqlayıb əhsən!""demirəm.O bədəni niyə axı o qədər genəldirsən ki,sonra da. "
,Ailəlikcə artıq şoka filan düşmürük. Başın buraxmışıq.,Ailəlikcə artıq şoka filan düşmürük. Başın buraxmışıq.
,"  Bəzi mahnılar təkcə dinlənilməz... Həm yaşanar, həm hiss edilər, həm kimisə xatırladar, həm də kimin üçünsə darıxdırar.","  Bəzi mahnılar təkcə dinlənilməz... Həm yaşanar, həm hiss edilər, həm kimisə xatırladar, həm də kimin üçünsə darıxdırar."
,"""Qardaşın"" idi, məncə 1ci səni başa salmaq lazımdı. Bu da azmış kimi şəklin çəkib😏","""Qardaşın"" idi, məncə 1-ci səni başa salmaq lazımdı. Bu da azmış kimi şəklin çəkib😏"
,"  Keçən dəfə bir məkanda dava düşdü, qız mənə rus dilində içi poxlu gombul zibil torbası dedi. Bütün günü o sözün təsirin…","  Keçən dəfə bir məkanda dava düşdü, qız mənə rus dilində içi poxlu gombul zibil torbası dedi. Bütün günü o sözün təsirin."
,bizim bölüyün kaptyorkasına qanlı kaptyorka deyirdilər. neçə oğlan öz bakirəliyini orda itirmişdu,bizim bölüyün kaptyorkasına qanlı kaptyorka deyirdilər neçə oğlan öz bakirəliyini orada itirmişdi
,fikir vermisem atasina oxsayan qiz usaqlari sirin olmur. men istisnayam ama 🤓,fikir vermişəm atasına oxşayan qız uşaqları şirin olmur mən istisnayam amma 🤓
,"bıçaq sümüyə dirənib, çörək almaq lazımdı","bıçaq sümüyə dirənib, çörək almaq lazımdır"
,Mən elə isdiyirəm çünki 😒,Mən elə istəyirəm çünki 😒
,  #1918ciil #AzərbaycanlılarınSoyqırımının #100cüİldönümü ilə bağlı tədbirlər planı hazırlanacaq,  1918-ci il Azərbaycanlıların Soyqırımının 100-cü İl dönümü ilə bağlı tədbirlər planı hazırlanacaq
,"Daha öz səsim də mənə yad olub,Hardasa ağlayan körpə səsitək.Mənim gözlərimdə həsrət iz salıb,Körpələr evinin pəncərəsitək..","Daha öz səsim də mənə yad olub,Haradasa ağlayan körpə səsitək. Mənim gözlərimdə həsrət iz salıb,Körpələr evinin pəncərəsitək"
,"Nə desən haqlısan, mənəm günahkar.Üzünə baxmağa utanıram mən.Niyə and içirsən, uşaq kimiyəm...Sən yalan desən də… ","Nə desən haqlısan, mənəm günahkar.Üzünə baxmağa utanıram mən.Niyə and içirsən, uşaq kimiyəm.Sən yalan desən də… "
," Sən əvvəl qıcığ olduğum qrupa aid deylsən, səni ilk günnən çox isdiyirəm 😂🌸💞","Sən əvvəl qıcığ olduğum qrupa aid deylsən, səni ilk gündən çox istəyirəm 😂🌸💞"
,""" Duymayan kalmasin???????????????",Duymayan qalmasın?
,"Elədi,zornan işdim:D","Elədi,zorla içdim:D"
,Bronxit olmuşam,Bronxit olmuşam
,  Can Ay Maral yenede yaddashlardasan:) arxiv ,  Can Ay Maral yenə də yaddaşlardasan:) arxiv 
,Ziyandı e Zİ-YAN......,Ziyandır ZİYAN.
,"Sənə çox can dedim ey can, can olub neyləmisən?Demə canan özünə, canan olub neyləmisən?Demə imkanım olanda səni… ","Sənə çox can dedim ey can, can olub neyləmisən?Demə canan özünə, canan olub neyləmisən?Demə imkanım olanda səni. "
,"  Deyir pomadanın nömresi neçedi? A men sene nece deyim ki bu kontur üstünden azca ten, üstünden pomada, axırda rumyanadan biraz…","  Deyir pomadanın nömresi neçədir? Mən sənə necə deyim ki bu kontur üstündən azca ten, üstündən pomada, axırda rumyanadan bir az."
,"Çox sağol, qarşılığlıdı","Çox sağol, qarşılıqlıdır"
,Siqaretdi o?🤤🤤,Siqaretdir o?🤤🤤
,Bakıda intihara cəhdin qarşısı alındı ,Bakıda intihara cəhdin qarşısı alındı 
,"  Qına üreyinde, qına sen meni.Herşeyin xetrime deyen vaxtıdı.","  Qına ürəyində, qına sən məni. Hər şeyin xətrimə dəyən vaxtıdır."
,Almaniyada çoxsaylı oğurluqda təqsirləndirilən Azərbaycan vətəndaşı saxlanıldı ,Almaniyada çoxsaylı oğurluqda təqsirləndirilən Azərbaycan vətəndaşı saxlanıldı 
, yenidən bərpasına ehtiyac var. Nə deyirsiniz? ))),yenidən bərpasına ehtiyac var. Nə deyirsiniz? )))
,"  Suni bir heyat yashayiram. Gun erzinde neyese sevinirem, nedense xoshbextem ama temani hele ozum de tuta bilmemishem.","  Süni bir həyat yaşayıram. Gün ərzində nəyəsə sevinirəm, nədənsə xoşbəxtəm amma temanı hələ özüm də tuta bilməmişəm."
,"Bu isə reklam çarxı deyil, həqiqidir. İnsan oğlu çox şeyə qadirdir. Yetər ki, bir şeyi çox istəsin... ","Bu isə reklam çarxı deyil, həqiqidir. İnsan oğlu çox şeyə qadirdir. Yetər ki, bir şeyi çox istəsin. "
,Qorxulu kadrlar: nəhəng dalğada şütüdü - VİDEO - FOTO ,Qorxulu kadrlar: nəhəng dalğada şütüdü - VİDEO - FOTO 
,"Uzun və yaşanmış bir gündür ömür!Nə isə...Qulağıma uşaqlıqda eşitdiyim toy səsləri gəlir.Uzaqdan.Doğrudanmı, hə… ","Uzun və yaşanmış bir gündür ömür!Nə isə. Qulağıma uşaqlıqda eşitdiyim toy səsləri gəlir.Uzaqdan.Doğrudanmı, hə. "
,Apple sürücüsüz avtomobillərin parkını 9 dəfə artırdı ,Apple sürücüsüz avtomobillərin parkını 9 dəfə artırdı 
, Amin😍gözdüyürəm o şəkli mütləq çəkdir😂😊❤️,Amin😍gözləyirəm o şəkli mütləq çəkdir😂😊❤️
,"Toy karvanı qəzaya uğradı - 7 ölü, 5 yaralı ","Toy karvanı qəzaya uğradı - 7 ölü, 5 yaralı "
,Real da iki ciddi itki ,Real da iki ciddi itki 
,  Uuxx yavşağ səni deyireee ,  yavşağ səni deyir 
,Uuxx yavşağ səni deyireee , yavşağ səni deyir 
,SEPAH qoşunları və İŞİD terror qruplaşmasının üzvləri arasında atışma baş verib ,SEPAH qoşunları və İŞİD terror qruplaşmasının üzvləri arasında atışma baş verib 
,"  Hiss eləyirəm e tanış, qohum burda da tapıb məni🙄 Tapmısızsa bloklayın, mən sizi tapıb bloklayana qədər :ddd","  Hiss eləyirəm  tanış, qohum burada da tapıb məni🙄 Tapmısınızsa bloklayın, mən sizi tapıb bloklayana qədər :ddd"
,Sherhsiz ,Şərhsiz 
,Kabildə partlayışda ölənlərin sayı 63-ə çatıb ,Kabildə partlayışda ölənlərin sayı 63-ə çatıb 
,İnternet fenomeni pişik məhkəmədə sahibinə görün nə qədər pul qazandırdı ,İnternet fenomeni pişik məhkəmədə sahibinə görün nə qədər pul qazandırdı 
,"Özümüzü tapaq, 90-ların məktəbliləri?) ","Özümüzü tapaq, 90-ların məktəbliləri?) "
,Qərzəkli meyvələr bahalaşıb - BAZARDAN REPOAJ - VİDEO ,Qərzəkli meyvələr bahalaşıb - BAZARDAN REPORTAJ - VİDEO 
,Azərbaycan Avropa Məhkəməsinin tədbirlərində təmsil olunub ,Azərbaycan Avropa Məhkəməsinin tədbirlərində təmsil olunub 
,  Bu ölkədə hava belə dəxlisizdi. Bazar günü qar 4cü gün günəş. ,  Bu ölkədə hava belə dəxlisizdir. Bazar günü qar 4-cü gün günəş. 
,"Körpələri ilə vidalaşdı, partlayıcı ilə yüklənmiş maşına oturubintihar etdi… ","Körpələri ilə vidalaşdı, partlayıcı ilə yüklənmiş maşına oturub intihar etdi"
,30'cu illərdi)),30'cu illərdir))
,Almaniyada oğurluq etmiş azərbaycanlı saxlanılıb ,Almaniyada oğurluq etmiş azərbaycanlı saxlanılıb 
, Içmeye bashlayirsan deyesen:),Içməyə başlayırsan deyəsən:)
,Sehiyyenin icinde oldugum hamda bele dehsetli seyleri esidende ozume gele bilmirem,Səhiyyənin içində olduğum halda belə dəhşətli şeyləri eşidəndə özümə gələ bilmirəm
,Yasamalda 4 otaqlı ev yandı ,Yasamalda 4 otaqlı ev yandı 
,Oyan Azərbaycan (27.01.2018):  via ,Oyan Azərbaycan (27.01.2018):  
,İlk dəfə meymun klonlandı - FOTOLAR ,İlk dəfə meymun klonlandı - FOTOLAR 
," Müəllimmiz deyirdi Beşikdən -Məzara qədər Oxumaq,oxumaq yenə oxumaq","Müəllimimiz deyirdi Beşikdən -Məzara qədər Oxumaq,oxumaq yenə oxumaq"
,Terrorçuların düşərgəsi ələ keçirildi - Türk ordusunun Afrin zəfəri davam edir - FOTOLAR ,Terrorçuların düşərgəsi ələ keçirildi - Türk ordusunun Afrin zəfəri davam edir - FOTOLAR 
,Tibb fakültəsinin tələbəsi Instagram fenomeninə çevrildi - FOTO ,Tibb fakültəsinin tələbəsi Instaqram fenomeninə çevrildi - FOTO 
,"Qadını soyan şəxs: ""Gözümə sataşdı, götürdüm"" - VİDEO - FOTO ","Qadını soyan şəxs: ""Gözümə sataşdı, götürdüm"" - VİDEO - FOTO "
,"Mən kinli deyiləm, sadəcə qisas üçün uyğun zamanı səbrlə gözləyə bilirəm 😃","Mən kinli deyiləm, sadəcə qisas üçün uyğun zamanı səbirlə gözləyə bilirəm 😃"
,  Evet bir ilk.,   bir ilk.
,"- deyir gəzin dolanın,kef edin,hoppanın düşün amma kimsənin qəlbini qırmayın əsla)))","- deyir gəzin dolanın,kef edin,hoppanın düşün amma kimsənin qəlbini qırmayın əsla)))"
,boğaz ağrısının ən gözəl həll yolu 50-50 vurmaqdır,boğaz ağrısının ən gözəl həll yolu 50-50 vurmaqdır
,Payız yarpaqdan bezibsə ağac bəhanədir.,Payız yarpaqdan bezibsə ağac bəhanədir.
,Şəkil çəkərkən dodağını qəribə formalara salan qızlara səslənirəm. Çox itici və iyrənc görsənirsiniz.,Şəkil çəkərkən dodağını qəribə formalara salan qızlara səslənirəm. Çox itici və iyrənc görsənirsiniz.
,Heç bir şey xəyal qurduğum kimi olmadı,Heç bir şey xəyal qurduğum kimi olmadı
,"Müsavat Partiyasının Azərbaycan prezidentliyinə namizədi İsa Qəmbər: ""Qələbə qaçılmazdır...""... ","Müsavat Partiyasının Azərbaycan prezidentliyinə namizədi İsa Qəmbər: ""Qələbə qaçılmazdır..."""
,"Bu gün Norveçin Azərbaycandakı keçmiş səfiri Steinar Gilin doğum günüdür, 75 yaşı tamam olur.Gil Azərbaycanda işləd… ","Bugün Norveçin Azərbaycandakı keçmiş səfiri Steinar Gilin doğum günüdür, 75 yaşı tamam olur.Gil Azərbaycanda "
,"Bu gün təşkil etdiyimiz ödənişsiz semınarın görüntüləri. Gələn həftəsonu - həm şənbə, həm bazar günü daha iki... ","Bugün təşkil etdiyimiz ödənişsiz seminarın görüntüləri. Gələn həftəsonu - həm şənbə, həm bazar günü daha iki "
,Bu məmləkətin igidi bitməz!: Bütün Türkiyə bu görüntüdən danışır - VİDEO ,Bu məmləkətin igidi bitməz!: Bütün Türkiyə bu görüntüdən danışır - VİDEO 
, Gəl gəl :d,Gəl gəl :d
,Bu gün Müsavat Partiyası Məclisinin növbəti sessiyası keçirilib. ,Bugün Müsavat Partiyası Məclisinin növbəti sessiyası keçirilib. 
,Binəqədidə partlayış: 27 yaşlı qadın ağır xəsarət aldı ,Binəqədidə partlayış: 27 yaşlı qadın ağır xəsarət aldı 
,Onsuzda bütün günü yatırsan...,Onsuzda bütün günü yatırsan...
,"dəli şeytan deyir ki, hələ bunlar nədir ki...","dəli şeytan deyir ki, hələ bunlar nədir ki..."
,"  twitllərinizi oxudum, möhtəşəmdi, hamınız narkamansız.","  tvitlərinizi oxudum, möhtəşəmdir, hamınız narkamansınız."
,Növbəti mərhələdə yeniyetmələrin hər birisinə “mağazada” xərcləmələri üçün ayrılıqda 10 dollar verilib. Alimlər... ,Növbəti mərhələdə yeniyetmələrin hər birisinə “mağazada” xərcləmələri üçün ayrılıqda 10 dollar verilib. Alimlər. 
,"Berlin Tibb Universitetindən olan Ştefan Röpke və həmkarları belə düşünür ki, məhz Almaniyanın bölünməsi ictimai... ","Berlin Tibb Universitetindən olan Ştefan Röpke və həmkarları belə düşünür ki, məhz Almaniyanın bölünməsi ictimai."
